iter	MultiClass
0	3.316697135
1	2.991302438
2	2.83162755
3	2.663830902
4	2.373868791
5	2.27702071
6	2.174418168
7	1.985600285
8	1.843117574
9	1.774478911
10	1.684233919
11	1.62730665
12	1.530118278
13	1.461612479
14	1.402434002
15	1.353159539
16	1.260306161
17	1.202186084
18	1.159586844
19	1.088036372
20	1.023843303
21	0.9770690213
22	0.9557014468
23	0.9284460184
24	0.905437156
25	0.8395821919
26	0.8214456925
27	0.801653174
28	0.7482345751
29	0.7320661229
30	0.7002131774
31	0.6739224543
32	0.6590892114
33	0.630748265
34	0.5918208837
35	0.5727603911
36	0.5580227884
37	0.5450160982
38	0.5267730603
39	0.5085276998
40	0.4874863946
