iter	Passed	Remaining
0	80	80287
1	93	46652
2	106	35394
3	119	29795
4	128	25665
5	138	22961
6	148	21057
7	158	19598
8	167	18403
9	176	17463
10	187	16838
11	196	16140
12	205	15615
13	214	15122
14	225	14799
15	234	14414
16	243	14068
17	251	13736
18	262	13534
19	271	13288
20	280	13070
21	288	12821
22	297	12657
23	308	12537
24	316	12360
25	325	12189
26	333	12026
27	343	11926
28	353	11829
29	361	11697
30	370	11585
31	381	11525
32	390	11446
33	399	11344
34	407	11243
35	416	11166
36	426	11090
37	434	11007
38	443	10935
39	452	10859
40	462	10813
